label,Ch0_min,Ch1_min,Ch2_min,Ch3_min,Ch0_max,Ch1_max,Ch2_max,Ch3_max,Ch0_avg,Ch1_avg,Ch2_avg,Ch3_avg,Ch0_energy,Ch1_energy,Ch2_energy,Ch3_energy,Ch0_iemg,Ch1_iemg,Ch2_iemg,Ch3_iemg,Ch0_mav,Ch1_mav,Ch2_mav,Ch3_mav,Ch0_var,Ch1_var,Ch2_var,Ch3_var,Ch0_rms,Ch1_rms,Ch2_rms,Ch3_rms,Ch0_wl,Ch1_wl,Ch2_wl,Ch3_wl,Ch0_zc0,Ch1_zc0,Ch2_zc0,Ch3_zc0,Ch0_hemg0,Ch1_hemg0,Ch2_hemg0,Ch3_hemg0,Ch0_hemg1,Ch1_hemg1,Ch2_hemg1,Ch3_hemg1
UP_Grape,-0.8658203125,-0.15781250000000002,-0.4751953125,-0.8853515625,0.7162109375,0.017968749999999978,0.40859375,0.8529296875,-0.10205078125000001,-0.04633789062500004,-0.10717773437500001,-0.120703125,23.71719741821289,0.2531557083129885,2.0439996719360356,5.637975692749023,39.879687499999996,4.669726562500004,11.792382812500001,16.64453124999999,0.39879687499999994,0.04669726562500004,0.11792382812500002,0.1664453124999999,0.23956765068901908,0.002557128366797864,0.02064646133268723,0.05694924942170731,0.4870030535655078,0.05031458121787247,0.1429685165319986,0.23744421855983402,0.361328125,0.1318359375,-0.2783203125,0.76171875,28.0,2.0,5.0,6.0,51.0,1.0,3.0,5.0,51.0,1.0,3.0,5.0
UP_Grape,-0.84140625,-0.06503906250000002,-0.19199218750000002,-0.20175781250000002,0.5697265625,-0.025976562500000022,0.013085937499999978,-0.03574218750000002,-0.10888671875000004,-0.04291992187500004,-0.10654296875000004,-0.115625,22.05769920349121,0.1901464462280275,1.4528808593750004,1.3854331970214848,37.890625,4.2919921875000036,10.680468750000003,11.5625,0.37890625,0.04291992187500004,0.10680468750000002,0.115625,0.2228050424595072,0.00192067117402048,0.014675564236111115,0.013994274717388736,0.46965624879789697,0.043605784734141353,0.12053550760564292,0.11770442629831238,-0.419921875,0.0,0.1025390625,-0.0048828125,30.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0
UP_Grape,-0.84140625,-0.06015625000000002,-0.19199218750000002,-0.24082031250000002,0.56484375,-0.021093750000000022,0.013085937499999978,-0.08457031250000002,-0.09570312500000004,-0.04277343750000004,-0.11186523437500001,-0.11767578125,22.208742141723633,0.19012451171875014,1.5713930130004887,1.4253654479980473,38.58710937500001,4.2773437500000036,11.212695312500003,11.767578125,0.3858710937500001,0.04277343750000004,0.11212695312500003,0.11767578125,0.22433072870427911,0.0019204496133207085,0.015872656696974633,0.014397630787859064,0.47126152125676074,0.04360326956992447,0.12535521580694153,0.11938866981410118,-0.2783203125,-0.0048828125,-0.0048828125,0.0048828125,24.0,0.0,2.0,0.0,49.0,0.0,1.0,0.0,49.0,0.0,1.0,0.0
UP_Grape,-0.8560546875,-0.06015625000000002,-0.18222656250000002,-0.24082031250000002,0.56484375,-0.021093750000000022,-0.0015625000000000222,-0.08457031250000002,-0.12480468750000004,-0.043945312500000035,-0.10869140625000004,-0.118408203125,23.633041381835938,0.20155334472656267,1.468286514282227,1.4435472488403325,39.37460937499999,4.3945312500000036,10.869140625000004,11.8408203125,0.3937460937499999,0.043945312500000035,0.10869140625000004,0.118408203125,0.23871758971551452,0.0020358923709753803,0.014831176911941687,0.014581285341821541,0.48613826615311756,0.04489469286302811,0.12117287296595006,0.12014771112427954,0.078125,0.0,-0.029296875,-0.0146484375,24.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
UP_Grape,-0.8560546875,-0.06015625000000002,-0.19199218750000002,-0.24570312500000002,0.5501953125,-0.021093750000000022,0.003320312499999978,-0.04062500000000002,-0.10000000000000002,-0.04311523437500003,-0.10976562500000002,-0.1177734375,21.83433723449707,0.1932592391967775,1.4861221313476567,1.432357788085938,37.396093750000006,4.3115234375000036,10.983203125000003,11.77734375,0.37396093750000003,0.04311523437500003,0.10983203125000003,0.1177734375,0.22054886095451587,0.001952113527240177,0.015011334660077341,0.014468260485716545,0.4672722678963205,0.0439612601271594,0.1219066089819439,0.11968115090046293,-0.17578125,-0.0146484375,0.0048828125,-0.0830078125,29.0,0.0,2.0,0.0,52.0,0.0,1.0,0.0,52.0,0.0,1.0,0.0
UP_Grape,-0.84140625,-0.06503906250000002,-0.19199218750000002,-0.24570312500000002,0.5501953125,-0.025976562500000022,0.003320312499999978,-0.04062500000000002,-0.10131835937500004,-0.043554687500000036,-0.10854492187500003,-0.116015625,21.576851844787598,0.19747352600097673,1.4926309585571294,1.3914680480957036,37.6251953125,4.3554687500000036,10.861132812500003,11.6015625,0.376251953125,0.043554687500000036,0.10861132812500003,0.116015625,0.21794799843219795,0.0019946820808179467,0.015077080389465952,0.01405523280904751,0.46450890028919356,0.04443799342915662,0.1221732768880793,0.11796050390260732,0.9228515625,0.0146484375,-0.068359375,0.0,27.0,0.0,2.0,0.0,49.0,0.0,1.0,0.0,49.0,0.0,1.0,0.0
UP_Grape,-0.8462890625,-0.07968750000000002,-0.18222656250000002,-0.24082031250000002,0.5404296875,-0.025976562500000022,-0.0015625000000000222,-0.05039062500000002,-0.11201171875000002,-0.04633789062500004,-0.10595703125000004,-0.113818359375,21.073387145996094,0.22335338592529314,1.4380111694335942,1.3307237625122075,37.32382812499999,4.6337890625000036,10.595703125000004,11.3818359375,0.3732382812499999,0.04633789062500004,0.10595703125000004,0.113818359375,0.21286249642420296,0.0022560948073261935,0.014525365347814083,0.013441654166789975,0.4590575905700296,0.047260277816078604,0.1199171034270589,0.11535700076337836,-0.625,-0.01953125,0.1025390625,0.009765625,28.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
UP_Grape,-0.8462890625,-0.07968750000000002,-0.17734375000000002,-0.24082031250000002,0.5453125,-0.025976562500000022,0.003320312499999978,-0.04062500000000002,-0.09765625000000004,-0.045751953125000036,-0.10869140625000004,-0.115771484375,21.557754516601562,0.21906948089599626,1.5034294128417973,1.4046239852905278,38.03710937500001,4.5751953125000036,10.875781250000003,11.5771484375,0.38037109375000006,0.045751953125000036,0.10875781250000002,0.115771484375,0.21775509612728852,0.0022128230393534975,0.01518615568527068,0.014188121063540685,0.46430329006589605,0.046804858817861665,0.12261441240089997,0.11851683362672696,-0.322265625,0.0048828125,0.0048828125,0.01953125,28.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0
UP_Grape,-0.84140625,-0.07480468750000002,-0.17734375000000002,-0.22128906250000002,0.5453125,-0.025976562500000022,0.003320312499999978,-0.04062500000000002,-0.127978515625,-0.044677734375000035,-0.10498046875000004,-0.11416015625,22.382407188415527,0.20771884918212907,1.4418544769287114,1.3545055389404301,38.47167968749999,4.4677734375000036,10.504687500000003,11.416015625,0.38471679687499993,0.044677734375000035,0.10504687500000003,0.11416015625,0.22608492109510633,0.0020981701937588795,0.01456418663564355,0.013681874130711416,0.47310048814618155,0.04557618338366313,0.12007724501039785,0.11638322640915356,0.0,0.01953125,-0.01953125,0.0,28.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0
UP_Grape,-0.84140625,-0.07480468750000002,-0.17734375000000002,-0.22128906250000002,0.5501953125,-0.025976562500000022,-0.0015625000000000222,-0.08457031250000002,-0.10556640625000002,-0.04545898437500004,-0.10600585937500004,-0.11323242187500002,20.472274780273438,0.21311283111572282,1.403908729553223,1.3139467239379887,36.624609375000006,4.5458984375000036,10.600585937500004,11.323242187500002,0.36624609375000006,0.04545898437500004,0.10600585937500004,0.11323242187500002,0.20679065434619634,0.002152654859754776,0.014180896258113364,0.013272189130686755,0.45246297948311126,0.04616414529867555,0.1184866545039239,0.11462751519325493,-0.1611328125,-0.0146484375,0.0390625,-0.029296875,27.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
